Timestamp,UnixTime,F,FL,FR,L,R,BL,BR,B,M1_Speed,M1_Dir,M2_Speed,M2_Dir,M3_Speed,M3_Dir,M4_Speed,M4_Dir
2025-05-08 13:15:44,1746702944.6734045,1600,1600,1600,1600,494,1600,107,1061,158,1,158,1,30,1,30,1
2025-05-08 13:15:44,1746702944.8639617,1600,1600,1600,1600,473,87,101,976,255,1,255,1,30,1,30,1
2025-05-08 13:15:45,1746702945.1651142,1600,1600,1600,1600,472,87,105,930,127,1,127,1,30,1,30,1
2025-05-08 13:15:45,1746702945.3659508,1600,1600,1600,86,471,1600,131,965,30,1,30,1,30,1,30,1
2025-05-08 13:15:45,1746702945.668917,1600,1600,1600,86,473,1600,137,988,255,1,255,1,30,1,30,1
2025-05-08 13:15:45,1746702945.8703077,1600,1600,1600,1600,476,1600,143,969,255,1,255,1,30,1,30,1
2025-05-08 13:15:46,1746702946.1208756,1600,1600,1600,1600,476,1600,146,978,255,1,255,1,30,1,30,1
2025-05-08 13:15:46,1746702946.3950696,1600,1600,1600,1600,478,1600,145,985,255,1,255,1,30,1,30,1
2025-05-08 13:15:46,1746702946.6607926,1600,1600,1600,1600,477,1600,146,968,255,1,255,1,30,1,30,1
2025-05-08 13:15:46,1746702946.9003403,1600,1600,1600,1600,480,1600,146,974,255,1,255,1,30,1,30,1
2025-05-08 13:15:47,1746702947.1738951,1600,1600,1600,1600,482,1600,151,995,255,1,255,1,30,1,30,1
2025-05-08 13:15:47,1746702947.4752152,1600,1600,1600,1600,488,1600,151,992,255,1,255,1,30,1,30,1
2025-05-08 13:15:47,1746702947.676202,1600,1600,1600,1600,490,1600,1600,982,127,1,127,1,30,1,30,1
2025-05-08 13:15:47,1746702947.961012,1600,1600,1600,1600,490,1600,153,972,30,1,30,1,30,1,30,1
2025-05-08 13:15:48,1746702948.2775588,1600,1600,1600,1600,492,1600,158,973,255,1,255,1,30,1,30,1
2025-05-08 13:15:48,1746702948.478424,1600,1600,1600,1600,493,1600,159,984,255,1,255,1,30,1,30,1
2025-05-08 13:15:48,1746702948.7183518,1600,1600,1600,1600,493,1600,160,975,255,1,255,1,30,1,30,1
2025-05-08 13:15:48,1746702948.9792552,1600,1600,1600,1600,493,1600,159,974,255,1,255,1,30,1,30,1
2025-05-08 13:15:49,1746702949.260274,1600,1600,1600,1600,499,1600,159,978,255,1,255,1,30,1,30,1
2025-05-08 13:15:49,1746702949.5676525,1600,1600,1600,1600,409,1600,144,988,255,1,255,1,30,1,30,1
2025-05-08 13:15:49,1746702949.7717452,1600,1600,1600,1600,293,1600,139,986,255,1,255,1,30,1,30,1
2025-05-08 13:15:50,1746702950.079236,1600,1600,1600,1600,395,1600,141,979,255,1,255,1,30,1,30,1
2025-05-08 13:15:50,1746702950.2839324,1600,1600,1600,1600,427,1600,140,993,255,1,255,1,30,1,30,1
2025-05-08 13:15:50,1746702950.532672,1600,1600,1600,1600,474,1600,138,979,255,1,255,1,30,1,30,1
2025-05-08 13:15:50,1746702950.7862792,1600,1600,1600,29,493,1600,125,669,255,1,255,1,30,1,30,1
2025-05-08 13:15:51,1746702951.0418508,1600,1600,1600,73,489,94,110,669,127,1,127,1,30,1,30,1
2025-05-08 13:15:51,1746702951.3100266,1600,1600,1600,73,490,105,114,69,30,1,30,1,30,1,30,1
2025-05-08 13:15:51,1746702951.5804236,1600,1600,1600,1600,499,112,121,75,30,1,30,1,30,1,30,1
2025-05-08 13:15:51,1746702951.8138192,1600,1600,1600,1600,486,1600,107,1600,158,1,158,1,30,1,30,1
2025-05-08 13:15:52,1746702952.0984387,1600,1600,1600,1600,181,1600,107,1029,255,1,255,1,30,1,30,1
2025-05-08 13:15:52,1746702952.3917177,1600,1600,1600,1600,71,1600,1600,1023,127,1,127,1,30,1,30,1
2025-05-08 13:15:52,1746702952.6388054,1600,1600,1600,1600,60,1600,1600,1000,30,1,30,1,30,1,30,1
2025-05-08 13:15:52,1746702952.8930712,1600,1600,1600,1600,61,1600,1600,1020,30,1,30,1,30,1,30,1
2025-05-08 13:15:53,1746702953.119492,113,1600,1600,1600,61,1600,1600,1024,0,1,0,1,0,1,0,1
2025-05-08 13:15:53,1746702953.395289,127,1600,1600,1600,58,1600,1600,993,0,1,0,1,0,1,0,1
2025-05-08 13:15:53,1746702953.6328316,115,1600,1600,1600,57,1600,1600,1010,0,1,0,1,0,1,0,1
2025-05-08 13:15:53,1746702953.8969874,99,1600,1600,1600,59,1600,1600,1018,0,1,0,1,0,1,0,1
2025-05-08 13:15:54,1746702954.1755154,94,1600,1600,1600,60,1600,1600,994,0,1,0,1,0,1,0,1
2025-05-08 13:15:54,1746702954.43915,94,1600,1600,1600,62,1600,1600,1017,0,1,0,1,0,1,0,1
2025-05-08 13:15:54,1746702954.687026,103,1600,1600,1600,62,1600,1600,1013,0,1,0,1,0,1,0,1
2025-05-08 13:15:55,1746702955.0010216,104,1600,1600,1600,61,1600,1600,1008,0,1,0,1,0,1,0,1
2025-05-08 13:15:55,1746702955.2015452,96,1600,1600,1600,64,1600,1600,1018,0,1,0,1,0,1,0,1
2025-05-08 13:15:55,1746702955.451793,104,1600,1600,1600,63,1600,1600,1025,0,1,0,1,0,1,0,1
2025-05-08 13:15:55,1746702955.750402,112,1600,1600,1600,62,1600,1600,998,30,1,30,1,30,1,30,1
2025-05-08 13:15:55,1746702955.980167,1600,1600,1600,1600,63,1600,1600,1022,0,1,0,1,0,1,0,1
2025-05-08 13:15:56,1746702956.2460349,1600,1600,1600,1600,57,1600,1600,1020,30,1,30,1,30,1,30,1
2025-05-08 13:15:56,1746702956.5002272,1600,1600,1600,1600,52,1600,1600,1017,30,1,30,1,30,1,30,1
2025-05-08 13:15:56,1746702956.7709563,1600,1600,1600,1600,84,1600,1600,1023,30,1,30,1,30,1,30,1
2025-05-08 13:15:57,1746702957.017609,1600,1600,1600,1600,79,1600,1600,1020,30,1,30,1,30,1,30,1
2025-05-08 13:15:57,1746702957.3102067,1600,1600,1600,1600,68,1600,1600,1022,30,1,30,1,30,1,30,1
2025-05-08 13:15:57,1746702957.611948,1600,1600,1600,1600,71,1600,1600,1020,30,1,30,1,30,1,30,1
2025-05-08 13:15:57,1746702957.8126192,1600,1600,1600,1600,66,1600,1600,1009,30,1,30,1,30,1,30,1
2025-05-08 13:15:58,1746702958.0694046,1600,1600,1600,1600,64,1600,1600,1015,30,1,30,1,30,1,30,1
2025-05-08 13:15:58,1746702958.3145862,1600,1600,1600,1600,69,1600,1600,1024,30,1,30,1,30,1,30,1
2025-05-08 13:15:58,1746702958.579963,115,1600,1600,1600,74,1600,1600,1018,30,1,30,1,30,1,30,1
2025-05-08 13:15:58,1746702958.8876941,115,1600,1600,1600,110,1600,1600,1008,0,1,0,1,0,1,0,1
2025-05-08 13:15:59,1746702959.1180341,1600,1600,1600,1600,231,1600,1600,1017,0,1,0,1,0,1,0,1
2025-05-08 13:15:59,1746702959.3872159,1600,1600,1600,1600,231,1600,91,1018,30,1,30,1,30,1,30,1
